"Date","Price","Open","High","Low","Vol.","Change %"
"05/01/2023","178.65","188.25","196.55","175.55","173.88K","-5.90%"
"04/01/2023","189.85","171.30","207.45","171.25","250.59K","11.35%"
"03/01/2023","170.50","188.00","188.00","166.15","173.89K","-10.45%"
"02/01/2023","190.40","180.30","199.75","171.25","269.66K","4.76%"
"01/01/2023","181.75","166.45","182.80","142.05","481.02K","8.64%"
"12/01/2022","167.30","170.00","174.95","155.00","94.23K","-0.24%"
"11/01/2022","167.70","177.85","183.40","150.45","242.96K","-5.63%"
"10/01/2022","177.70","220.80","226.45","167.75","481.53K","-19.79%"
"09/01/2022","221.55","238.55","238.55","215.75","123.98K","-7.34%"
"08/01/2022","239.10","217.55","246.90","205.90","276.68K","10.08%"
"07/01/2022","217.20","232.85","232.85","204.20","129.74K","-7.02%"
"06/01/2022","233.60","232.05","242.00","218.90","284.70K","1.02%"
"05/01/2022","231.25","217.70","233.80","204.55","134.77K","3.91%"
"04/01/2022","222.55","226.00","237.75","214.65","266.05K","-1.70%"
"03/01/2022","226.40","236.95","236.95","211.30","118.61K","-3.35%"
"02/01/2022","234.25","235.75","260.45","233.95","316.81K","-0.36%"
"01/01/2022","235.10","226.15","245.00","220.55","377.81K","3.98%"
"12/01/2021","226.10","234.00","250.35","224.00","81.81K","-3.07%"
"11/01/2021","233.25","203.20","247.55","198.70","343.29K","14.37%"
"10/01/2021","203.95","194.00","215.15","191.30","405.15K","5.13%"
"09/01/2021","194.00","195.30","199.45","182.35","119.82K","0.28%"
"08/01/2021","193.45","179.35","196.50","171.60","327.09K","7.74%"
"07/01/2021","179.55","162.10","215.20","149.30","275.46K","12.68%"
"06/01/2021","159.35","162.00","166.75","147.05","342.37K","-1.85%"
"05/01/2021","162.35","139.90","163.15","138.85","141.23K","16.01%"
"04/01/2021","139.95","124.95","145.80","120.55","279.62K","13.32%"
"03/01/2021","123.50","138.45","138.45","120.50","159.07K","-9.76%"
"02/01/2021","136.85","122.65","139.30","120.20","266.96K","11.31%"
"01/01/2021","122.95","128.40","131.75","118.75","385.67K","-4.13%"
"12/01/2020","128.25","120.20","129.00","114.75","104.84K","6.26%"
"11/01/2020","120.70","103.90","121.40","102.15","269.57K","15.61%"
"10/01/2020","104.40","110.95","113.35","102.95","388.63K","-5.90%"
"09/01/2020","110.95","132.25","134.50","108.30","179.06K","-14.52%"
"08/01/2020","129.80","118.20","130.80","109.70","293.81K","9.12%"
"07/01/2020","118.95","102.80","119.40","95.45","217.87K","18.89%"
"06/01/2020","100.05","95.85","101.45","92.70","290.45K","3.89%"
"05/01/2020","96.30","104.25","109.40","95.85","145.97K","-7.98%"
"04/01/2020","104.65","117.75","122.00","102.65","204.47K","-12.46%"
"03/01/2020","119.55","112.75","130.65","102.80","165.24K","8.58%"
"02/01/2020","110.10","102.00","111.50","97.40","338.35K","7.26%"
"01/01/2020","102.65","129.55","130.95","100.15","480.13K","-20.86%"
"12/01/2019","129.70","118.00","138.40","118.00","154.74K","9.41%"
"11/01/2019","118.55","102.15","118.00","101.10","422.64K","16.28%"
"10/01/2019","101.95","101.05","102.90","92.20","553.71K","0.79%"
"09/01/2019","101.15","101.15","102.90","97.25","148.51K","8.07%"
"08/01/2019","93.60","97.85","98.95","89.60","334.98K","-6.07%"
"07/01/2019","99.65","112.55","113.05","98.10","194.04K","-7.94%"
"06/01/2019","108.25","104.85","109.00","94.00","440.76K","3.49%"
"05/01/2019","104.60","91.70","105.30","86.75","290.92K","13.88%"
"04/01/2019","91.85","94.05","96.95","86.35","495.27K","-2.80%"
"03/01/2019","94.50","97.50","97.50","92.60","187.25K","-0.74%"
"02/01/2019","95.20","106.15","107.00","93.60","330.46K","-10.10%"
"01/01/2019","105.90","101.60","107.15","99.35","458.38K","3.98%"
"12/01/2018","101.85","102.05","104.00","95.75","105.07K","-1.36%"
"11/01/2018","103.25","113.05","121.30","104.00","363.50K","-8.39%"
"10/01/2018","112.70","102.15","125.50","101.10","771.68K","10.00%"
"09/01/2018","102.45","96.35","103.45","93.50","160.48K","4.43%"
"08/01/2018","98.10","109.70","110.40","95.45","457.12K","-10.74%"
"07/01/2018","109.90","108.45","113.40","105.80","181.85K","-1.43%"
"06/01/2018","111.50","123.90","124.95","112.00","408.47K","-9.86%"
"05/01/2018","123.70","122.85","124.05","112.45","195.42K","2.53%"
"04/01/2018","120.65","118.70","120.80","113.05","393.73K","2.12%"
"03/01/2018","118.15","121.35","122.00","116.50","138.18K","-2.40%"
"02/01/2018","121.05","121.70","124.40","116.50","325.32K","-0.66%"
"01/01/2018","121.85","126.00","131.35","119.60","516.82K","-3.45%"
"12/01/2017","126.20","126.95","128.00","116.90","112.00K","-0.08%"
"11/01/2017","126.30","124.70","130.30","121.15","342.43K","0.96%"
"10/01/2017","125.10","127.80","132.70","122.85","388.98K","-2.30%"
"09/01/2017","128.05","128.90","141.35","125.95","138.67K","-0.08%"
"08/01/2017","128.15","139.25","143.75","125.50","288.81K","-7.97%"
"07/01/2017","139.25","126.25","139.35","125.00","149.82K","12.25%"
"06/01/2017","124.05","129.50","130.00","113.00","285.58K","-4.10%"
"05/01/2017","129.35","134.65","135.00","127.15","127.70K","-1.30%"
"04/01/2017","131.05","138.80","143.70","126.70","252.29K","-5.92%"
"03/01/2017","139.30","140.20","144.70","136.20","110.51K","-1.00%"
"02/01/2017","140.70","149.55","151.70","138.60","233.03K","-5.92%"
"01/01/2017","149.55","137.80","156.95","134.40","342.17K","9.12%"
"12/01/2016","137.05","147.65","147.90","132.85","94.79K","-7.08%"
"11/01/2016","147.50","163.25","176.00","147.40","340.42K","-10.14%"
"10/01/2016","164.15","151.10","166.90","145.20","401.87K","8.31%"
"09/01/2016","151.55","150.75","160.90","147.00","154.62K","3.87%"
"08/01/2016","145.90","145.00","146.15","134.90","274.70K","-0.21%"
"07/01/2016","146.20","143.45","153.05","139.05","128.80K","1.46%"
"06/01/2016","144.10","121.50","146.05","120.85","368.60K","18.55%"
"05/01/2016","121.55","122.10","132.60","118.70","151.09K","0.58%"
"04/01/2016","120.85","127.35","130.00","119.05","269.77K","-5.18%"
"03/01/2016","127.45","114.30","136.40","111.35","148.28K","13.14%"
"02/01/2016","112.65","115.80","124.00","112.25","291.67K","-3.18%"
"01/01/2016","116.35","126.15","126.30","111.05","351.62K","-8.17%"
"12/01/2015","126.70","116.30","126.80","115.75","69.00K","8.38%"
"11/01/2015","116.90","121.00","123.95","111.60","263.30K","-3.35%"
"10/01/2015","120.95","121.30","137.60","116.30","383.32K","-0.33%"
"09/01/2015","121.35","119.55","123.35","113.20","123.14K","0.66%"
"08/01/2015","120.55","125.10","139.00","117.10","319.41K","-3.75%"
"07/01/2015","125.25","130.15","130.30","119.85","134.79K","-4.13%"
"06/01/2015","130.65","128.20","138.85","124.80","284.23K","3.57%"
"05/01/2015","126.15","137.00","143.85","123.55","155.49K","-7.62%"
"04/01/2015","136.55","133.40","147.35","131.95","238.00K","2.75%"
"03/01/2015","132.90","138.55","145.40","129.05","105.86K","-2.82%"
"02/01/2015","136.75","162.40","169.75","136.45","249.56K","-15.53%"
"01/01/2015","161.90","165.05","184.90","158.70","349.52K","-2.82%"
